k,p_X_equal_to_k,p_X_equal_or_greater_than_k
0,0.9973036414952813,1
1,0.002692720062104242,0.0026963585047186656
2,3.6351687592587904e-6,3.6384426144257255e-6
3,3.2716456195597177e-9,3.2738551669600706e-9
4,2.208354356803038e-12,2.2095474003199663e-12
5,1.192506684516444e-15,1.193043516939907e-15
6,5.3662537074182555e-19,5.368324234663687e-19
7,2.0698284735210705e-22,2.070527245424214e-22
8,6.985622795290052e-26,6.987719031507075e-26
9,2.0956702521471325e-29,2.096236216985527e-29
10,5.658259239453863e-33,5.659648383682377e-33
11,1.3888316798919257e-36,1.3891442285214436e-36
12,3.124837173159982e-40,3.1254862952556007e-40
13,6.48996911051113e-44,6.491220956573211e-44
14,1.2516207355435323e-47,1.2518460621640081e-47
15,2.2528859756232354e-51,2.253266204849334e-51
16,3.8016883825055656e-55,3.80229226104252e-55
17,6.03787957460023e-59,6.038785369932465e-59
18,9.056666169775846e-63,9.057953320410443e-63
19,1.2869768733502293e-66,1.2871506342820355e-66
20,1.737385916508954e-70,1.7376093176664156e-70
